"","Stream start time","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"85","Sunday 2nd June 2019 10:31","673","57466","101804","3006","273.28","651158","59196.2","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"86","Saturday 1st June 2019 10:15","584","34990","60509","1353","138.76","457935","46967.68","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"87","Friday 31st May 2019 10:30","584","40273","69464","1837","188.4","531652","54528.4","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"88","Thursday 30th May 2019 10:34","595","21175","43223","970","99.48","0","42258.88","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"89","Wednesday 29th May 2019 10:45","629","22087","45246","1161","110.56","462900","44085.72","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"90","Tuesday 28th May 2019 10:42","647","26141","40177","1497","139.24","0","42969.04","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"91","Sunday 26th May 2019 11:50","204","38154","54656","775","238.48","133099","40953.52","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"92","Sunday 26th May 2019 09:59","60","12205","14392","27","36","42319","31082.68","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"93","Saturday 25th May 2019 11:55","439","39249","76375","1944","268.12","354175","48851.72","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"94","Sunday 19th May 2019 07:04","295","14440","22999","315","66.32","197586","39519.36","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"95","Friday 17th May 2019 10:42","2372","33556","139858","15522","177.92","5829814","66780.88","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"96","Sunday 12th May 2019 10:30","569","103532","168258","5941","625.36","1323938","127497.56","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"97","Saturday 11th May 2019 07:30","944","78521","117259","6237","402.4","1301479","83966.4","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"98","Friday 10th May 2019 07:30","899","73916","134516","6180","419","1180284","80019.24","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"99","Thursday 9th May 2019 07:21","653","55360","107738","3292","306.24","606343","56404","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"100","Tuesday 7th May 2019 07:30","599","48342","78144","4228","433.64","598801","58134.76","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
