"","Stream start time","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"90","Sunday 21st April 2019 08:01","1678","19572","60447","6261","225.64","995291","33698.04","Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"91","Saturday 20th April 2019 06:44","1515","18798","54245","5570","222.8","626715","24683.52","Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"92","Wednesday 17th April 2019 18:03","3641","13904","50571","10219","168.92","1146384","18948.48","Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"93","Sunday 14th April 2019 22:31","4018","4476","31734","3483","52.16","514721","7711.16","Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"94","Saturday 13th April 2019 08:46","2263","4323","24485","1978","52.76","358175","9439.56","Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"95","Friday 12th April 2019 23:56","393","5584","8814","461","70.92","66340","9929.68","Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"96","Wednesday 10th April 2019 14:01","3388","1509","30443","2410","16.68","447472","3043.72","Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"97","Saturday 6th April 2019 08:34","790","1644","5960","291","22.4","26629","7545.24","Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"98","Thursday 4th April 2019 12:27","2642","500","1827","65","1.48","59007","1331.44","Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"99","Wednesday 3rd April 2019 13:40","1369","557","1827","1256","27","68484","1472.76","Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"100","Tuesday 2nd April 2019 07:10","394","672","1797","3543","24.48","12054","1790.4","Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
