"DateTime","Players","Players Trend","Twitch Viewers"
"2020-07-29 14:50:00",15001,13134.468189677478,396
"2020-07-29 15:00:00",15120,13134.754031028438,423
"2020-07-29 15:10:00",15196,13134.115620133089,426
"2020-07-29 15:20:00",15212,13133.841287947258,437
"2020-07-29 15:30:00",15289,13134.263235051207,419
"2020-07-29 15:40:00",15425,13134.897258011235,405
"2020-07-29 15:50:00",15423,13135.322363067258,448
"2020-07-29 16:00:00",15499,13136.148544913956,492
"2020-07-29 16:10:00",15547,13136.629499854165,467
"2020-07-29 16:20:00",15661,13137.288730787986,533
"2020-07-29 16:30:00",15793,13137.415241257882,545
"2020-07-29 16:40:00",15819,13136.888645465662,558
"2020-07-29 16:50:00",15943,13136.873161534117,530
"2020-07-29 17:00:00",15958,13136.368248977595,525
"2020-07-29 17:10:00",15978,13136.247121525925,515
"2020-07-29 17:20:00",16016,13136.421895501693,438
"2020-07-29 17:30:00",16174,13137.077105941486,448
"2020-07-29 17:40:00",16196,13137.257229380026,444
"2020-07-29 17:50:00",16350,13137.699428740965,478
"2020-07-29 18:00:00",16317,13138.085102926125,482
"2020-07-29 18:10:00",16514,13138.97619493663,462
"2020-07-29 18:20:00",16569,13138.957640642817,418
"2020-07-29 18:30:00",16612,13139.37922035018,342
"2020-07-29 18:40:00",16757,13140.376402063961,317
"2020-07-29 18:50:00",16826,13141.11337111881,334
"2020-07-29 19:00:00",16807,13141.99036019574,329
"2020-07-29 19:10:00",16857,13143.195962756381,342
"2020-07-29 19:20:00",16913,13144.202167670455,404
"2020-07-29 19:30:00",16917,13145.654437038665,455
"2020-07-29 19:40:00",16953,13147.498149232664,475
"2020-07-29 19:50:00",16969,13149.440812294615,485
"2020-07-29 20:00:00",16913,13151.41132543428,494
"2020-07-29 20:10:00",16895,13153.254073523476,369
"2020-07-29 20:20:00",16872,13154.964517868595,380
"2020-07-29 20:30:00",16815,13156.930177218901,401
"2020-07-29 20:40:00",16763,13159.082882080598,440
"2020-07-29 20:50:00",16601,13160.48631352599,449
"2020-07-29 21:00:00",16562,13162.32335173911,429
"2020-07-29 21:10:00",16394,13163.293175252516,527
"2020-07-29 21:20:00",16365,13164.210041938672,554
